,,living room 1,,living room 2,,living room 3,,bedroom,,staircase low,,staircase up,,,,,,,,,,,,
Date,Time,T up L (GF),RH up L (GF),T low L (GF),RH low L (GF),T low R (GF),RH low R (GF),T R (1F),RH R (1F),T clay Low,RH clay Low (60mm),T clay Up,RH clay Up (100mm),T clay-flex Low,RH clay-flex Low,T clay-flex Up,RH clay-flex Up,,,,,,,
15/03/2012,00:00:00,14.09,40.4,11.77,94.5,13.32,44,13.32,46.9,13.7,46.6,13.7,49.3,13.32,47.6,13.32,47.2,,,,,,,
15/03/2012,01:00:00,13.7,40.4,11.77,94.5,13.32,44,12.93,46.9,13.7,46.5,13.32,49.3,13.32,47.3,13.32,47.2,,,,,,,
15/03/2012,02:00:00,13.7,40.3,11.77,94.5,13.32,43.9,12.93,46.9,13.32,46.4,13.32,49.2,13.32,47.2,12.93,47.2,,,,,,,
15/03/2012,03:00:00,13.32,40.3,11.38,94.5,12.93,44,12.93,46.9,13.32,46.2,12.93,49.2,12.93,47.2,12.93,47,,,,,,,
15/03/2012,04:00:00,13.32,40.2,11.77,94.5,12.93,44,12.93,46.8,12.93,46.3,12.93,49,12.93,46.9,12.55,47,,,,,,,
15/03/2012,05:00:00,12.93,40.2,11.38,94.5,12.55,44.1,12.55,46.9,12.93,46.1,12.55,49,12.55,46.9,12.55,46.9,,,,,,,
15/03/2012,06:00:00,12.93,40.2,11.38,94.5,12.55,43.9,12.16,46.9,12.93,46,12.55,49,12.55,46.8,12.55,46.8,,,,,,,
15/03/2012,07:00:00,12.93,40,11.38,94.5,12.55,43.9,12.55,46.8,12.55,46,12.55,48.9,12.55,46.7,12.16,46.9,,,,,,,
15/03/2012,08:00:00,12.93,40,11.38,94.5,12.55,43.8,12.16,46.9,12.55,46,12.55,48.9,12.55,46.7,12.55,46.7,,,,,,,
15/03/2012,09:00:00,12.93,40.2,11.38,94.5,12.55,43.9,12.55,46.9,12.93,46,12.55,49,12.55,46.9,12.55,46.8,,,,,,,
15/03/2012,10:00:00,12.93,40.3,10.99,94.5,12.93,43.8,12.93,46.9,12.93,46.1,12.93,48.9,12.55,47,12.55,46.9,,,,,,,
15/03/2012,11:00:00,13.32,40.3,10.99,94.5,12.93,43.9,12.93,46.9,12.93,46.3,12.93,49,12.93,47.2,12.93,46.9,,,,,,,
15/03/2012,12:00:00,13.32,40.4,10.99,94.5,13.32,43.9,12.93,47,12.93,46.5,12.93,49.3,12.93,47.3,12.93,47,,,,,,,
15/03/2012,13:00:00,13.7,40.4,10.99,94.5,13.32,44,13.32,47,13.32,46.8,13.32,49.5,13.32,47.4,13.32,47.2,,,,,,,
15/03/2012,14:00:00,14.09,40.6,10.6,94.5,13.7,44,13.32,47.3,13.7,47,13.7,49.6,13.32,47.8,13.32,47.4,,,,,,,
15/03/2012,15:00:00,14.09,40.8,10.6,94.5,13.7,44.2,13.7,47.3,13.7,47.3,13.7,49.9,13.32,48.1,13.7,47.7,,,,,,,
15/03/2012,16:00:00,14.09,41,10.6,98.1,13.7,44.4,13.32,47.7,13.7,47.6,13.7,50.2,13.7,48.1,13.7,48,,,,,,,
15/03/2012,17:00:00,14.09,41,10.6,94.5,13.7,44.5,13.7,47.6,13.7,47.7,13.7,50.3,13.7,48.1,13.7,48.1,,,,,,,
15/03/2012,18:00:00,14.09,41.1,10.6,98.1,14.09,44.5,13.7,47.7,14.09,47.7,14.09,50.3,13.7,48.4,13.7,48.2,,,,,,,
15/03/2012,19:00:00,14.09,41.2,10.6,98.1,14.09,44.7,13.7,48,14.09,47.8,14.09,50.6,13.7,48.4,13.7,48.5,,,,,,,
15/03/2012,20:00:00,14.47,41.2,10.6,98.1,14.09,44.8,14.09,48,14.09,48.1,14.47,50.6,14.09,48.5,14.09,48.5,,,,,,,
15/03/2012,21:00:00,16.38,40.8,10.6,98.1,16,44.4,16.38,47,15.62,48.4,16.38,49.7,15.62,48.8,16.38,47.3,,,,,,,
15/03/2012,22:00:00,17.52,40.8,10.6,94.5,17.14,44.4,17.52,46.8,16.38,48.7,17.52,49.3,16.38,48.8,17.52,47,,,,,,,
15/03/2012,23:00:00,17.9,40.9,10.6,94.5,17.52,44.5,17.9,46.8,17.14,48.7,17.9,49.2,17.52,48.6,17.9,47.2,,,,,,,
16/03/2012,00:00:00,17.52,41.1,10.6,94.5,17.14,44.7,17.14,47.3,17.14,48.4,17.14,49.7,17.14,48.4,17.14,48,,,,,,,
16/03/2012,01:00:00,17.14,41.1,10.6,98.1,16.38,44.9,16.38,47.6,16.76,48.1,16.76,50,16.38,48.3,16.38,48.3,,,,,,,
16/03/2012,02:00:00,16.38,41.2,10.6,94.5,16,45,16,47.7,16.38,47.8,16,50.3,16,48.2,16,48.4,,,,,,,
16/03/2012,03:00:00,16.38,41.1,10.6,98.1,15.62,45,15.62,47.8,16,47.8,16,50.1,16,48,15.62,48.5,,,,,,,
16/03/2012,04:00:00,16,41.2,10.99,98.2,15.62,45,15.62,47.8,16,47.6,15.62,50.2,15.62,48.1,15.62,48.4,,,,,,,
16/03/2012,05:00:00,15.62,41.2,10.6,98.1,15.62,44.9,15.23,48,15.62,47.6,15.62,50.2,15.62,48,15.23,48.5,,,,,,,
16/03/2012,06:00:00,15.62,41.2,10.6,98.1,15.23,45,15.23,48,15.62,47.4,15.23,50.2,15.23,48,15.23,48.4,,,,,,,
16/03/2012,07:00:00,15.62,41.2,10.6,98.1,15.23,44.9,14.85,48,15.62,47.4,15.23,50.2,15.23,48,14.85,48.5,,,,,,,
16/03/2012,08:00:00,15.62,41.1,10.6,98.1,15.23,44.9,14.85,48,15.23,47.4,15.23,50.1,15.23,48,14.85,48.5,,,,,,,
16/03/2012,09:00:00,15.23,41.1,10.6,98.1,14.85,45.2,14.85,48,15.23,47.4,14.85,50.3,14.85,48,14.85,48.4,,,,,,,
16/03/2012,10:00:00,15.23,41.2,10.6,98.1,14.85,45.2,14.85,48,15.23,47.4,15.23,50.4,14.85,48,14.85,48.5,,,,,,,
16/03/2012,11:00:00,14.09,41,10.6,98.1,12.93,46.5,13.32,48.4,14.47,47.4,13.32,51.5,14.09,47.5,13.32,49.3,,,,,,,
16/03/2012,12:00:00,14.09,41,10.6,98.1,13.32,45.5,13.32,48.2,14.09,46.9,13.7,50.7,13.7,47.4,13.32,48.9,,,,,,,
16/03/2012,13:00:00,12.93,41.1,10.6,98.1,12.16,46.4,12.55,48.4,13.32,47,12.93,51.3,12.93,47.3,12.55,49.3,,,,,,,
16/03/2012,14:00:00,13.32,41,10.6,98.1,12.55,45.5,12.93,47.7,13.32,46.9,12.93,50.6,12.93,47.4,12.93,48.4,,,,,,,
16/03/2012,15:00:00,12.93,41,10.6,98.1,12.16,45.9,12.55,48.1,12.93,46.9,12.55,51,12.55,47.3,12.16,48.9,,,,,,,
16/03/2012,16:00:00,12.93,41.1,10.6,98.1,12.16,45.9,12.55,48,12.93,47,12.55,50.8,12.55,47.4,12.55,48.6,,,,,,,
16/03/2012,17:00:00,12.93,41.3,10.6,98.1,12.55,45.7,12.55,48.1,12.93,47.2,12.55,50.8,12.55,47.6,12.55,48.8,,,,,,,
16/03/2012,18:00:00,12.55,41.5,10.6,98.1,11.77,46,12.16,48.2,12.55,47.3,12.16,51.1,12.16,47.7,11.77,49.3,,,,,,,
16/03/2012,19:00:00,12.93,41.8,10.6,98.1,12.93,45.3,12.93,48.2,12.93,47.6,12.93,50.7,12.93,48.1,12.93,48.6,,,,,,,
16/03/2012,20:00:00,13.32,42.1,10.6,98.1,13.32,45.3,13.32,48.2,13.32,47.8,13.32,50.9,12.93,48.5,12.93,49,,,,,,,
16/03/2012,21:00:00,13.7,42.1,10.6,98.1,13.7,45.3,13.32,48.5,13.32,48.1,13.32,51,13.32,48.6,13.32,49,,,,,,,
16/03/2012,22:00:00,13.7,42.1,10.6,98.1,13.7,45.3,13.32,48.5,13.7,48.1,13.7,51,13.32,48.8,13.32,49.2,,,,,,,
16/03/2012,23:00:00,13.7,42.2,10.6,98.1,13.7,45.4,13.32,48.6,13.7,48.2,13.7,51.2,13.32,48.9,13.32,49.5,,,,,,,
17/03/2012,00:00:00,14.09,42,10.6,98.1,13.7,45.6,13.32,48.8,13.7,48.4,13.7,51.3,13.32,48.9,13.32,49.5,,,,,,,
17/03/2012,01:00:00,14.09,42.2,10.6,98.1,13.7,45.6,13.7,48.6,13.7,48.5,13.7,51.5,13.32,49,13.32,49.6,,,,,,,
17/03/2012,02:00:00,14.09,42.2,10.6,98.1,13.7,45.7,13.7,48.8,13.7,48.6,13.7,51.5,13.32,49,13.32,49.7,,,,,,,
17/03/2012,03:00:00,14.09,42.2,10.6,98.1,13.7,45.7,13.7,48.8,13.7,48.6,13.7,51.6,13.7,48.9,13.32,49.9,,,,,,,
17/03/2012,04:00:00,14.09,42.3,10.6,98.1,13.7,45.7,13.32,49,13.7,48.8,13.7,51.8,13.32,49.2,13.32,49.9,,,,,,,
17/03/2012,05:00:00,14.09,42.3,10.6,98.1,13.7,45.8,13.7,48.9,13.7,48.8,13.7,51.8,13.7,49,13.32,50,,,,,,,
17/03/2012,06:00:00,14.09,42.4,10.6,98.1,13.7,45.8,13.32,49.2,13.7,48.9,13.7,51.9,13.7,49.2,13.32,50.2,,,,,,,
17/03/2012,07:00:00,14.09,42.4,10.6,98.1,13.7,46,13.32,49.2,13.7,49,13.7,52.1,13.7,49.3,13.32,50.3,,,,,,,
17/03/2012,08:00:00,14.09,42.6,10.6,98.1,13.7,46,13.7,49.2,13.7,49.3,13.7,52.2,13.7,49.5,13.32,50.4,,,,,,,
17/03/2012,09:00:00,14.09,42.7,10.6,98.1,14.09,46,13.7,49.3,14.09,49.3,13.7,52.4,13.7,49.6,13.7,50.4,,,,,,,
17/03/2012,10:00:00,14.09,42.7,10.6,98.1,14.09,46.1,14.09,49.2,14.09,49.5,14.09,52.4,14.09,49.6,14.09,50.3,,,,,,,
17/03/2012,11:00:00,14.47,42.8,10.6,98.1,14.47,46.1,14.09,49.3,14.47,49.8,14.47,52.4,14.09,49.9,14.09,50.6,,,,,,,
17/03/2012,12:00:00,14.85,42.9,10.6,98.1,14.47,46.3,14.47,49.5,14.85,50.1,14.85,52.6,14.47,50,14.47,50.8,,,,,,,
17/03/2012,13:00:00,14.85,43.1,10.6,98.1,14.47,46.6,14.47,49.6,14.85,50.3,14.85,53,14.47,50.3,14.47,51.1,,,,,,,
17/03/2012,14:00:00,14.85,43.3,10.6,98.1,14.47,46.7,14.47,49.8,14.85,50.5,14.47,53.4,14.47,50.3,14.47,51.4,,,,,,,
17/03/2012,15:00:00,14.85,43.3,10.6,98.1,14.47,46.9,14.47,49.9,14.85,50.6,14.47,53.6,14.47,50.5,14.47,51.5,,,,,,,
17/03/2012,16:00:00,14.85,43.5,10.6,98.1,14.47,47,14.47,50,14.47,50.9,14.47,53.8,14.47,50.6,14.47,51.7,,,,,,,
17/03/2012,17:00:00,14.85,43.6,10.6,98.1,14.47,47.1,14.09,50.3,14.47,50.9,14.47,53.9,14.47,50.6,14.09,52,,,,,,,
17/03/2012,18:00:00,14.47,43.7,10.6,98.1,14.09,47.4,14.09,50.5,14.47,50.9,14.09,54,14.47,50.6,14.09,52.1,,,,,,,
17/03/2012,19:00:00,14.47,43.7,10.99,98.2,14.09,47.4,14.09,50.5,14.47,50.9,14.09,54.2,14.09,50.8,14.09,52.1,,,,,,,
17/03/2012,20:00:00,14.47,43.7,10.99,98.2,14.09,47.4,14.09,50.5,14.09,51,14.09,54.2,14.09,50.8,13.7,52.2,,,,,,,
17/03/2012,21:00:00,14.47,43.9,10.99,98.2,14.09,47.4,13.7,50.7,14.09,51,14.09,54.2,14.09,50.8,13.7,52.4,,,,,,,
17/03/2012,22:00:00,14.09,44,10.99,98.2,14.09,47.4,14.09,50.6,14.09,51,14.09,54.2,14.09,50.8,13.7,52.4,,,,,,,
17/03/2012,23:00:00,14.09,44,10.99,98.2,13.7,47.6,13.7,50.7,14.09,50.9,13.7,54.3,13.7,50.7,13.32,52.5,,,,,,,
18/03/2012,00:00:00,14.09,43.9,10.99,98.2,13.7,47.6,13.32,50.9,14.09,50.9,13.7,54.3,13.7,50.6,13.32,52.5,,,,,,,
18/03/2012,01:00:00,13.7,44,10.99,98.2,13.32,47.7,13.32,50.7,13.7,50.9,13.32,54.3,13.32,50.7,13.32,52.5,,,,,,,
18/03/2012,02:00:00,13.7,43.9,10.99,98.2,13.32,47.6,13.32,50.7,13.7,50.7,13.32,54.3,13.32,50.6,12.93,52.6,,,,,,,
18/03/2012,03:00:00,13.32,44,10.99,98.2,13.32,47.6,12.93,50.9,13.32,50.7,12.93,54.2,13.32,50.4,12.93,52.5,,,,,,,
18/03/2012,04:00:00,13.32,43.9,10.99,98.2,12.93,47.7,12.93,50.9,13.32,50.4,12.93,54.1,12.93,50.4,12.55,52.5,,,,,,,
18/03/2012,05:00:00,12.93,43.9,10.6,98.1,12.93,47.6,12.93,50.7,12.93,50.4,12.93,54.1,12.93,50.3,12.55,52.5,,,,,,,
18/03/2012,06:00:00,12.93,43.9,10.6,98.1,12.93,47.4,12.55,50.7,12.93,50.3,12.55,54,12.55,50.3,12.16,52.4,,,,,,,
18/03/2012,07:00:00,12.93,43.8,10.6,98.1,12.55,47.4,12.55,50.7,12.93,50.1,12.55,53.9,12.55,50.1,12.16,52.3,,,,,,,
18/03/2012,08:00:00,12.93,43.8,10.6,98.1,12.55,47.4,12.55,50.6,12.93,50.1,12.55,53.7,12.55,50.1,12.16,52.1,,,,,,,
18/03/2012,09:00:00,12.93,43.8,10.6,98.1,12.93,47.2,12.93,50.4,12.93,50.1,12.93,53.4,12.93,50,12.55,51.9,,,,,,,
18/03/2012,10:00:00,13.32,43.8,10.6,98.1,13.32,47.2,12.93,50.4,13.32,50.2,12.93,53.6,12.93,50.3,12.93,51.7,,,,,,,
18/03/2012,11:00:00,13.32,43.9,10.6,98.1,13.32,47.2,13.32,50.4,13.32,50.4,13.32,53.6,12.93,50.6,12.93,51.9,,,,,,,
18/03/2012,12:00:00,13.32,43.9,10.21,98.1,13.32,47.3,13.32,50.4,13.32,50.7,13.32,53.8,12.93,50.6,12.93,52,,,,,,,
18/03/2012,13:00:00,13.7,43.9,10.21,98.1,13.32,47.4,13.32,50.6,13.32,50.7,13.32,53.8,13.32,50.6,12.93,52,,,,,,,
18/03/2012,14:00:00,13.7,43.9,10.21,98.1,13.32,47.4,13.32,50.6,13.32,50.7,13.32,53.8,13.32,50.6,13.32,51.9,,,,,,,
18/03/2012,15:00:00,13.7,43.9,10.21,98.1,13.7,47.3,13.32,50.6,13.7,50.7,13.7,53.8,13.32,50.7,13.32,51.9,,,,,,,
18/03/2012,16:00:00,13.7,44,10.21,98.1,13.32,47.6,13.32,50.6,13.7,50.9,13.32,54,13.32,50.7,13.32,52.1,,,,,,,
18/03/2012,17:00:00,13.7,44,10.21,98.1,13.32,47.6,13.32,50.7,13.32,50.9,13.32,54,13.32,50.7,13.32,52.1,,,,,,,
18/03/2012,18:00:00,13.7,44,10.21,98.1,13.32,47.6,13.32,50.7,13.32,51,13.32,54.1,13.32,50.7,12.93,52.3,,,,,,,
18/03/2012,19:00:00,13.32,44,10.21,98.1,12.93,47.7,12.93,50.9,13.32,50.9,12.93,54.2,12.93,50.9,12.93,52.3,,,,,,,
18/03/2012,20:00:00,13.32,44,10.21,98.1,12.93,47.7,12.93,50.9,13.32,50.9,12.93,54.2,12.93,50.7,12.55,52.5,,,,,,,
18/03/2012,21:00:00,13.32,44,10.21,98.1,12.93,47.7,12.93,50.9,12.93,50.9,12.93,54.2,12.93,50.6,12.55,52.5,,,,,,,
18/03/2012,22:00:00,12.93,44.2,10.21,98.1,12.93,47.7,12.55,51,12.93,50.7,12.55,54.2,12.93,50.6,12.55,52.5,,,,,,,
18/03/2012,23:00:00,12.93,44,10.21,98.1,12.55,47.7,12.55,50.8,12.93,50.6,12.55,54.2,12.55,50.6,12.16,52.4,,,,,,,
19/03/2012,00:00:00,12.55,44.1,9.82,98.1,12.55,47.7,12.16,51,12.55,50.6,12.16,54.2,12.55,50.4,12.16,52.4,,,,,,,
19/03/2012,01:00:00,12.55,44.1,9.82,98.1,12.16,47.7,12.16,50.8,12.55,50.4,12.16,54,12.16,50.4,11.77,52.4,,,,,,,
19/03/2012,02:00:00,12.55,43.9,9.82,98.1,12.16,47.6,12.16,50.8,12.16,50.4,12.16,53.8,12.16,50.3,11.77,52.3,,,,,,,
19/03/2012,03:00:00,12.16,43.9,9.82,98.1,11.77,47.7,11.77,50.8,12.16,50.3,11.77,53.8,12.16,50.1,11.77,52.1,,,,,,,
19/03/2012,04:00:00,12.16,43.8,9.82,98.1,11.77,47.6,11.77,50.7,12.16,50,11.77,53.7,11.77,50.1,11.38,52.1,,,,,,,
19/03/2012,05:00:00,11.77,43.8,9.82,98.1,11.77,47.6,11.38,50.8,11.77,50,11.38,53.6,11.77,50,11.38,52,,,,,,,
19/03/2012,06:00:00,11.77,43.8,9.82,98.1,11.38,47.6,11.38,50.7,11.77,49.7,11.38,53.5,11.77,49.9,10.99,52,,,,,,,
19/03/2012,07:00:00,11.77,43.7,9.82,98.1,11.38,47.5,11.38,50.5,11.77,49.6,11.38,53.3,11.38,49.9,10.99,51.8,,,,,,,
19/03/2012,08:00:00,11.77,43.6,9.42,98.1,11.38,47.3,11.38,50.5,11.77,49.4,11.38,53.2,11.38,49.9,11.38,51.5,,,,,,,
19/03/2012,09:00:00,10.6,43.4,9.42,100,9.82,48.2,10.21,50.6,10.99,49.1,10.21,53.9,10.21,49.2,9.82,52.4,,,,,,,
19/03/2012,10:00:00,11.38,43.3,9.42,98.1,10.99,47.4,10.99,50.3,11.38,49.2,11.38,53,10.99,49.5,10.99,51.4,,,,,,,
19/03/2012,11:00:00,12.55,43.3,9.42,98.1,12.55,46.9,12.55,49.9,12.55,49.2,12.55,52.6,12.16,49.4,12.55,50.7,,,,,,,
19/03/2012,12:00:00,13.7,43.2,9.42,98.1,13.7,46.5,13.7,49.5,13.7,49.3,14.09,52,13.32,49.5,13.7,50.2,,,,,,,
19/03/2012,13:00:00,14.47,43.3,9.42,98.1,14.47,46.5,14.09,49.6,14.09,49.2,14.47,51.8,14.09,49.3,14.09,50.3,,,,,,,
19/03/2012,14:00:00,14.47,43.2,9.42,98.1,14.09,46.8,14.09,49.6,14.09,49.5,14.47,51.7,14.09,49.3,14.09,50.5,,,,,,,
19/03/2012,15:00:00,14.09,43.2,9.42,98.1,13.7,46.9,13.7,49.7,13.7,49.5,14.09,51.6,13.7,49.5,13.7,50.4,,,,,,,
19/03/2012,16:00:00,14.09,43.4,9.42,98.1,13.7,47,13.7,49.9,13.7,49.6,14.09,51.8,13.7,49.6,13.7,50.6,,,,,,,
19/03/2012,17:00:00,14.47,42.8,9.42,98.1,14.09,46.8,14.09,49.3,14.09,49.2,14.47,51.4,14.09,49.3,14.09,49.9,,,,,,,
19/03/2012,18:00:00,14.47,42.7,9.42,98.1,13.7,46.9,14.09,49.2,14.09,49,14.09,51.5,14.09,49.2,14.09,49.9,,,,,,,
19/03/2012,19:00:00,14.09,42.8,9.42,98.1,14.09,46.8,14.09,49.2,14.09,49.6,15.23,49.9,14.09,49,14.85,48.8,,,,,,,
19/03/2012,20:00:00,14.85,43.2,9.42,98.1,15.23,46.3,14.85,49.3,15.23,49.5,15.62,50.7,14.85,49.5,15.62,48.8,,,,,,,
19/03/2012,21:00:00,15.62,43.2,9.42,98.1,15.62,46.5,15.62,49.4,16,49.4,16,51.2,15.62,49.5,16,49.2,,,,,,,
19/03/2012,22:00:00,16,43.4,9.42,98.1,16.38,46.3,16,49.5,16.76,49.1,16.38,51.4,16,49.7,16.38,49.4,,,,,,,
19/03/2012,23:00:00,16.76,43.4,9.82,98.1,16.76,46.3,16.38,49.5,17.14,49,17.14,51.3,16.38,49.5,16.76,49.6,,,,,,,
20/03/2012,00:00:00,16.76,43.4,9.82,98.1,16.38,46.6,16.76,49.3,17.14,48.7,17.14,51.1,16.76,49.3,17.14,49.4,,,,,,,
20/03/2012,01:00:00,16.38,43.3,9.82,98.1,16.38,46.6,16.38,49.1,16.76,48.7,16.76,50.9,16.38,49.1,16.76,49.3,,,,,,,
20/03/2012,02:00:00,16.38,43.1,9.82,98.1,16,46.7,16,48.9,16.38,48.5,16.76,50.6,16.38,48.8,16.38,49.1,,,,,,,
20/03/2012,03:00:00,16.38,42.8,9.82,98.1,15.62,46.7,16,48.8,16,48.4,16.38,50.4,16,48.7,16.38,48.8,,,,,,,
20/03/2012,04:00:00,16,42.8,9.82,98.1,15.62,46.6,15.62,48.8,16,48.2,16,50.4,16,48.5,16,48.7,,,,,,,
20/03/2012,05:00:00,16,42.7,9.82,98.1,15.62,46.3,15.62,48.7,15.62,48.1,16,50.1,15.62,48.7,16,48.4,,,,,,,
20/03/2012,06:00:00,15.62,42.7,9.82,98.1,15.23,46.3,15.62,48.5,15.62,48,16,50,15.62,48.5,15.62,48.2,,,,,,,
20/03/2012,07:00:00,15.62,42.7,9.82,98.1,15.62,46.2,15.62,48.5,15.62,47.8,16,49.8,15.62,48.5,15.62,48.1,,,,,,,
20/03/2012,08:00:00,16,42.8,9.82,98.1,16,45.9,16,48.5,16,47.7,16.38,49.8,16,48.7,16,48,,,,,,,
20/03/2012,09:00:00,16.38,42.5,9.82,98.1,16,46.1,16,48.5,16.38,47.6,16.38,49.8,16,48.5,16.38,48,,,,,,,
20/03/2012,10:00:00,16,42.4,9.82,98.1,15.62,46.3,16,48.2,16,47.6,16,50.3,16,48.4,15.62,48.5,,,,,,,
20/03/2012,11:00:00,17.14,42.5,9.82,98.1,17.52,44.6,17.14,48.1,16,47.8,16.38,50,17.9,47.7,16,48.2,,,,,,,
20/03/2012,12:00:00,20.19,43.7,9.82,98.1,18.66,41.7,16.76,55.8,16.38,47.8,16.38,50.1,18.28,46,16,48.4,,,,,,,
20/03/2012,13:00:00,15.23,51.1,10.21,98.1,23.24,37.3,21.71,51.2,16.38,47.7,16.38,49.8,25.17,38.9,16.38,48,,,,,,,
20/03/2012,14:00:00,14.47,59.5,10.21,98.1,18.66,38.1,19.42,52.2,16.38,47.8,16.38,50,18.28,39,16.38,48,,,,,,,
20/03/2012,15:00:00,14.47,63.2,10.21,98.1,14.85,39.9,14.85,66.2,16.38,48,16.38,50,16,39.4,16.38,48.1,,,,,,,
20/03/2012,16:00:00,14.09,65.3,10.21,98.1,15.23,39.9,14.47,69.8,16.38,48,16.76,49.9,16.76,39.6,16.76,48,,,,,,,
20/03/2012,17:00:00,14.09,67.1,10.21,98.1,12.55,42.1,14.09,71.4,16.38,48,16.38,50,13.32,41.7,16.38,48.1,,,,,,,
20/03/2012,18:00:00,14.09,68.4,10.21,98.1,16.38,42.1,14.47,72.6,16.38,47.7,16.38,50.1,16.38,44,16,48.2,,,,,,,
20/03/2012,19:00:00,14.09,69.4,10.21,98.1,16.38,43.1,14.47,73.2,16,47.8,16.38,50,16.38,45.1,16,48.1,,,,,,,
20/03/2012,20:00:00,14.09,70.4,10.21,98.1,17.14,43.8,14.47,73.9,16.76,48,17.52,49.5,17.14,46.2,17.14,47.6,,,,,,,
20/03/2012,21:00:00,14.47,70.8,10.6,98.1,17.9,44.7,14.47,73.9,17.52,48.3,18.28,49.2,18.28,47.2,17.9,47.6,,,,,,,
20/03/2012,22:00:00,14.85,71.9,10.6,98.1,18.66,45.3,14.85,74.5,17.9,48.5,18.28,49.7,18.28,48.3,18.28,47.9,,,,,,,
20/03/2012,23:00:00,14.85,72.5,10.6,98.1,17.9,46.2,15.23,74.5,17.9,48.3,17.9,50.1,17.9,49.5,17.9,48.3,,,,,,,
21/03/2012,00:00:00,14.85,73.1,10.99,98.2,17.52,47,15.23,75.2,17.52,48.3,17.52,50.2,17.52,50.5,17.52,48.4,,,,,,,
21/03/2012,01:00:00,15.23,73.7,10.99,98.2,17.14,47.9,15.23,75.2,17.52,48.2,17.52,50.4,17.14,51.4,17.52,48.4,,,,,,,
21/03/2012,02:00:00,15.23,73.7,10.99,98.2,16.76,48.7,15.23,76,17.14,48.3,17.52,50.2,16.76,52.4,17.14,48.6,,,,,,,
21/03/2012,03:00:00,15.23,74.5,10.99,98.2,16.76,49.3,15.23,76,17.14,48.1,17.14,50.3,16.38,53.1,17.14,48.4,,,,,,,
21/03/2012,04:00:00,15.23,75.2,10.99,98.2,16.38,50.1,15.23,76.9,17.14,48.1,17.14,50.3,16.38,53.8,17.14,48.4,,,,,,,
21/03/2012,05:00:00,15.23,76,11.38,98.2,16.38,50.7,15.23,76.9,16.76,48.3,17.14,50.2,16.38,54.6,16.76,48.4,,,,,,,
21/03/2012,06:00:00,15.23,76,11.38,98.2,16.38,51.4,15.23,76.9,16.76,48.1,17.14,50.2,16,55.2,16.76,48.4,,,,,,,
21/03/2012,07:00:00,14.85,76.9,11.38,98.2,16.38,52.1,15.23,76.9,17.14,48.1,17.52,49.9,16.76,55.8,17.14,48.1,,,,,,,
21/03/2012,08:00:00,15.23,76.9,11.38,98.2,17.52,52.3,15.23,76.9,17.9,48.3,18.28,49.7,17.52,56.2,17.9,48,,,,,,,
21/03/2012,09:00:00,15.23,76.9,11.38,98.2,17.14,52.9,15.23,76.9,17.52,48.4,17.52,50.4,17.14,56.9,17.52,48.4,,,,,,,
21/03/2012,10:00:00,14.85,77.8,10.99,98.2,17.14,52.6,15.23,76.9,17.14,47.9,17.14,50.3,17.14,56.3,17.14,48.4,,,,,,,
21/03/2012,11:00:00,14.85,77.8,10.99,98.2,17.14,52.1,14.85,76.9,17.14,47.7,17.14,49.9,17.14,55.7,16.76,48.3,,,,,,,
21/03/2012,12:00:00,14.85,77.8,10.99,98.2,17.52,51.6,14.85,76.9,17.14,47.6,17.52,49.6,17.52,55.2,17.14,47.9,,,,,,,
21/03/2012,13:00:00,14.85,78.8,11.38,98.2,17.9,51.2,14.85,76.9,17.14,47.6,17.52,49.5,17.9,54.5,17.52,47.7,,,,,,,
21/03/2012,14:00:00,14.85,78.8,10.99,98.2,17.9,51,14.85,77.8,17.14,47.4,17.14,49.6,17.9,54.5,17.14,47.9,,,,,,,
21/03/2012,15:00:00,14.47,78.9,10.99,98.2,17.9,50.7,14.47,77.9,17.52,47,17.52,49.2,17.9,54.1,17.52,47.4,,,,,,,
21/03/2012,16:00:00,14.47,78.9,11.38,98.2,17.9,49.9,14.47,77.9,17.14,47.2,17.14,49.3,17.9,53.2,17.14,47.6,,,,,,,
21/03/2012,17:00:00,14.47,79.9,11.38,98.2,17.9,49.8,14.85,77.8,16.76,47,16.76,49.4,17.9,53.2,16.76,47.6,,,,,,,
21/03/2012,18:00:00,14.47,79.9,11.38,98.2,18.28,49.8,14.85,77.8,16.76,46.9,16.76,49.3,18.28,52.9,16.76,47.4,,,,,,,
21/03/2012,19:00:00,14.47,79.9,11.38,98.2,18.28,50,14.85,78.8,16.76,46.9,17.14,48.9,18.28,53.3,16.76,47.3,,,,,,,
21/03/2012,20:00:00,14.85,79.9,11.38,98.2,17.9,50.5,15.23,78.8,16.38,47.2,16.76,49.1,17.9,53.9,16.76,47.3,,,,,,,
21/03/2012,21:00:00,14.85,81.1,11.38,98.2,17.52,51.1,15.23,79.9,16.76,47.2,16.76,49.1,17.52,54.8,16.76,47.3,,,,,,,
21/03/2012,22:00:00,14.85,81.1,11.38,98.2,17.52,51.9,15.62,79.8,16.76,47.2,17.14,49.1,17.52,55.8,16.76,47.4,,,,,,,
21/03/2012,23:00:00,15.23,81,11.77,98.2,17.14,52.9,15.62,79.8,16.76,47.3,17.14,49.1,17.14,56.9,16.76,47.4,,,,,,,
22/03/2012,00:00:00,15.23,81,11.77,98.2,17.14,53.6,16,79.8,16.76,47.3,17.14,49.3,17.14,57.8,16.76,47.4,,,,,,,
