Time [d],VTT Mould Index [-]
0,0
0.041666666666666664,0
0.08333333333333333,0
0.125,0
0.16666666666666666,0
0.20833333333333331,0
0.25,0
0.29166666666666663,0
0.3333333333333333,0
0.375,0
0.41666666666666663,0
0.4583333333333333,0
0.5,0
0.5416666666666666,0
0.5833333333333333,0
0.625,0
0.6666666666666666,0
0.7083333333333333,0
0.75,0
0.7916666666666666,0
0.8333333333333333,0
0.875,0
0.9166666666666666,0
0.9583333333333333,0
1,0
1.0416666666666665,0
1.0833333333333333,0
1.125,0
1.1666666666666665,0
1.2083333333333333,0
1.25,0
1.2916666666666665,0
1.3333333333333333,0
1.375,0
1.4166666666666665,0
1.4583333333333333,0
1.5,0
1.5416666666666665,0
1.5833333333333333,0
1.625,0
1.6666666666666665,0
1.7083333333333333,0
1.75,0
1.7916666666666665,0
1.8333333333333333,0
1.875,0
1.9166666666666665,0
1.9583333333333333,0
2,0
2.0416666666666665,0
2.083333333333333,0
2.125,0
2.1666666666666665,0
2.208333333333333,0
2.25,0
2.2916666666666665,0
2.333333333333333,0
2.375,0
2.4166666666666665,0
2.458333333333333,0
2.5,0
2.5416666666666665,0
2.583333333333333,0
2.625,0
2.6666666666666665,0
2.708333333333333,0
2.75,0
2.7916666666666665,0
2.833333333333333,0
2.875,0
2.9166666666666665,0
2.958333333333333,0
3,0
3.0416666666666665,0
3.083333333333333,0
3.125,0
3.1666666666666665,0
3.208333333333333,0
3.25,0
3.2916666666666665,0
3.333333333333333,0
3.375,0
3.4166666666666665,0
3.458333333333333,0
3.5,0
3.5416666666666665,0
3.583333333333333,0
3.625,0
3.6666666666666665,0
3.708333333333333,0
3.75,0
3.7916666666666665,0
3.833333333333333,0
3.875,0
3.9166666666666665,0
3.958333333333333,0
4,0
4.041666666666666,0
4.083333333333333,0
4.125,0
4.166666666666666,0
4.208333333333333,0
4.25,0
4.291666666666666,0
4.333333333333333,0
4.375,0
4.416666666666666,0
4.458333333333333,0
4.5,0
4.541666666666666,0
4.583333333333333,0
4.625,0
4.666666666666666,0
4.708333333333333,0
4.75,0
4.791666666666666,0
4.833333333333333,0
4.875,0
4.916666666666666,0
4.958333333333333,0
5,0
5.041666666666666,0
5.083333333333333,0
5.125,0
5.166666666666666,0
5.208333333333333,0
5.25,0
5.291666666666666,0
5.333333333333333,0
5.375,0
5.416666666666666,0
5.458333333333333,0
5.5,0
5.541666666666666,0
5.583333333333333,0
5.625,0
5.666666666666666,0
5.708333333333333,0
5.75,0
5.791666666666666,0
5.833333333333333,0
5.875,0
5.916666666666666,0
5.958333333333333,0
6,0
6.041666666666666,0
6.083333333333333,0
6.125,0
6.166666666666666,0
6.208333333333333,0
6.25,0
6.291666666666666,0
6.333333333333333,0
6.375,0
6.416666666666666,0
6.458333333333333,0
6.5,0
6.541666666666666,0
6.583333333333333,0
6.625,0
6.666666666666666,0
6.708333333333333,0
6.75,0
6.791666666666666,0
6.833333333333333,0
6.875,0.000260178
6.916666666666666,0.000520349
6.958333333333333,0.000780012
7,0.00103967
7.041666666666666,0.00137345
7.083333333333333,0.00170723
7.125,0.00204101
7.166666666666666,0.00237478
7.208333333333333,0.00270855
7.25,0.00304231
7.291666666666666,0.00337607
7.333333333333333,0.00370982
7.375,0.00404357
7.416666666666666,0.00437145
7.458333333333333,0.00469931
7.5,0.00511859
7.541666666666666,0.00544645
7.583333333333333,0.00586572
7.625,0.006285
7.666666666666666,0.00670427
7.708333333333333,0.00712353
7.75,0.0075428
7.791666666666666,0.00796206
7.833333333333333,0.00838132
7.875,0.00880058
7.916666666666666,0.00922718
7.958333333333333,0.00965377
8,0.0100878
8.041666666666666,0.0105218
8.083333333333332,0.0109558
8.125,0.0113898
8.166666666666666,0.0118238
8.208333333333332,0.0122578
8.25,0.0126918
8.291666666666666,0.0131258
8.333333333333332,0.0135597
8.375,0.0139937
8.416666666666666,0.0144277
8.458333333333332,0.0148617
8.5,0.0152957
8.541666666666666,0.0157296
8.583333333333332,0.0161636
8.625,0.0165976
8.666666666666666,0.0170315
8.708333333333332,0.0174655
8.75,0.0178995
8.791666666666666,0.0183334
8.833333333333332,0.0187674
8.875,0.0192085
8.916666666666666,0.0196496
8.958333333333332,0.0200907
9,0.0205389
9.041666666666666,0.020987
9.083333333333332,0.0214352
9.125,0.0218834
9.166666666666666,0.0223316
9.208333333333332,0.0227791
9.25,0.0232266
9.291666666666666,0.0236741
9.333333333333332,0.0241223
9.375,0.0245704
9.416666666666666,0.0250186
9.458333333333332,0.0254667
9.5,0.0259149
9.541666666666666,0.0263631
9.583333333333332,0.0268112
9.625,0.0272594
9.666666666666666,0.0277075
9.708333333333332,0.0281556
9.75,0.0286038
9.791666666666666,0.0290519
9.833333333333332,0.0295
9.875,0.0299475
9.916666666666666,0.0303949
9.958333333333332,0.0308493
10,0.0313036
10.041666666666666,0.0317647
10.083333333333332,0.0322259
10.125,0.032687
10.166666666666666,0.0331481
10.208333333333332,0.0336093
10.25,0.0340704
10.291666666666666,0.0345315
10.333333333333332,0.0349926
10.375,0.0354537
10.416666666666666,0.0359149
10.458333333333332,0.036376
10.5,0.0368302
10.541666666666666,0.0372845
10.583333333333332,0.0377388
10.625,0.0381931
10.666666666666666,0.0386473
10.708333333333332,0.0391016
10.75,0.0395559
10.791666666666666,0.0400101
10.833333333333332,0.0404712
10.875,0.0409323
10.916666666666666,0.0413933
10.958333333333332,0.0418612
11,0.042329
11.041666666666666,0.0427969
11.083333333333332,0.0432647
11.125,0.0437325
11.166666666666666,0.0442003
11.208333333333332,0.0446682
