Date,Livingroom_1,Livingroom_2,Livingroom_3,Bedroom,Staircase_Low,Staircase_Up
2012-06-08,0.707172,5.07563,0.386462,0.0767562,0.0292232,0.0
2012-06-09,0.705572,5.07563,0.384862,0.0751562,0.0276232,0.0
2012-06-10,0.703972,5.07563,0.383262,0.0735562,0.0260232,0.0
2012-06-11,0.702372,5.07563,0.381662,0.0719562,0.0244232,0.0
2012-06-12,0.700772,5.07563,0.380062,0.0703562,0.0228232,0.0
2012-06-13,0.699172,5.07563,0.378462,0.0687562,0.0212232,0.0
2012-06-14,0.697572,5.07563,0.376862,0.0671562,0.0196232,0.0
2012-06-15,0.695972,5.07563,0.375262,0.0655562,0.0180232,0.0
2012-06-16,0.694372,5.07563,0.373662,0.0639562,0.0164232,0.0
2012-06-17,0.692772,5.07563,0.372062,0.0623562,0.0148232,0.0
2012-06-18,0.691172,5.07563,0.370462,0.0607562,0.0132232,0.0
2012-06-19,0.689572,5.07563,0.368862,0.0591562,0.0116232,0.0
2012-06-20,0.687972,5.07563,0.367262,0.0575562,0.0100232,0.0
2012-06-21,0.686372,5.07563,0.365662,0.0559562,0.00842322,0.0
2012-06-22,0.684772,5.07563,0.364062,0.0543562,0.00682322,0.0
2012-06-23,0.683172,5.07563,0.362462,0.0527562,0.00522322,0.0
2012-06-24,0.681572,5.07563,0.360862,0.0511562,0.00362322,0.0
2012-06-25,0.679972,5.07563,0.359262,0.0495562,0.00202322,0.0
2012-06-26,0.678372,5.07563,0.357662,0.0479562,0.000423224,0.0
2012-06-27,0.676772,5.07563,0.356062,0.0463562,0.0,0.0
2012-06-28,0.675172,5.07563,0.354462,0.0447562,0.0,0.0
2012-06-29,0.673572,5.07563,0.352862,0.0431562,0.0,0.0
2012-06-30,0.671972,5.07563,0.351262,0.0415562,0.0,0.0
2012-07-01,0.670372,5.07563,0.349662,0.0399562,0.0,0.0
2012-07-02,0.668772,5.07563,0.348062,0.0383562,0.0,0.0
2012-07-03,0.667172,5.07563,0.346462,0.0367562,0.0,0.0
2012-07-04,0.665572,5.07563,0.344862,0.0351562,0.0,0.0
2012-07-05,0.663972,5.07563,0.343262,0.0335562,0.0,0.0
2012-07-06,0.662372,5.07563,0.341662,0.0319562,0.0,0.0
2012-07-07,0.660772,5.07563,0.340062,0.0303562,0.0,0.0
2012-07-08,0.659172,5.07563,0.338462,0.0287562,0.0,0.0
2012-07-09,0.657572,5.07563,0.336862,0.0271562,0.0,0.0
2012-07-10,0.655972,5.07563,0.335262,0.0255562,0.0,0.0
2012-07-11,0.654372,5.07563,0.333662,0.0239562,0.0,0.0
2012-07-12,0.652772,5.07563,0.332062,0.0223562,0.0,0.0
