Date,VTT_Mould_Index
2012-11-02,0.471972
2012-11-03,0.470372
2012-11-04,0.468772
2012-11-05,0.467172
2012-11-06,0.465572
2012-11-07,0.463972
2012-11-08,0.462372
2012-11-09,0.460772
2012-11-10,0.459172
2012-11-11,0.457572
2012-11-12,0.455972
2012-11-13,0.454372
2012-11-14,0.452772
2012-11-15,0.451172
2012-11-16,0.449572
2012-11-17,0.447972
2012-11-18,0.446372
2012-11-19,0.444772
2012-11-20,0.443172
2012-11-21,0.441572
2012-11-22,0.439972
2012-11-23,0.438372
2012-11-24,0.436772
2012-11-25,0.435172
2012-11-26,0.433572
2012-11-27,0.431972
2012-11-28,0.430372
2012-11-29,0.428772
2012-11-30,0.427172
2012-12-01,0.425572
2012-12-02,0.423972
2012-12-03,0.422372
2012-12-04,0.420772
2012-12-05,0.419172
2012-12-06,0.417572
2012-12-07,0.415972
2012-12-08,0.414372
2012-12-09,0.412772
2012-12-10,0.411172
2012-12-11,0.409572
2012-12-12,0.407972
2012-12-13,0.406372
2012-12-14,0.404772
2012-12-15,0.403172
2012-12-16,0.401572
2012-12-17,0.399972
2012-12-18,0.398372
2012-12-19,0.396772
2012-12-20,0.395172
2012-12-21,0.393572
2012-12-22,0.391972
2012-12-23,0.390372
2012-12-24,0.388772
2012-12-25,0.387172
2012-12-26,0.385572
2012-12-27,0.383972
2012-12-28,0.382372
2012-12-29,0.380772
2012-12-30,0.379172
2012-12-31,0.377572
2013-01-01,0.375972
2013-01-02,0.374372
2013-01-03,0.372772
2013-01-04,0.371172
2013-01-05,0.369572
2013-01-06,0.367972
2013-01-07,0.366372
2013-01-08,0.364772
2013-01-09,0.363172
2013-01-10,0.361572
2013-01-11,0.359972
2013-01-12,0.358372
2013-01-13,0.356772
2013-01-14,0.355172
2013-01-15,0.353572
2013-01-16,0.351972
2013-01-17,0.350372
2013-01-18,0.348772
2013-01-19,0.347172
2013-01-20,0.345572
2013-01-21,0.343972
2013-01-22,0.342372
2013-01-23,0.340772
2013-01-24,0.339172
2013-01-25,0.337572
2013-01-26,0.335972
2013-01-27,0.334372
2013-01-28,0.332772
2013-01-29,0.331172
2013-01-30,0.329572
2013-01-31,0.327972
2013-02-01,0.326372
2013-02-02,0.324772
2013-02-03,0.323172
2013-02-04,0.321572
2013-02-05,0.319972
2013-02-06,0.318372
2013-02-07,0.316772
2013-02-08,0.315172
2013-02-09,0.313572
2013-02-10,0.311972
2013-02-11,0.310372
2013-02-12,0.308772
2013-02-13,0.307172
2013-02-14,0.305572
2013-02-15,0.303972
2013-02-16,0.302372
2013-02-17,0.300772
2013-02-18,0.299172
2013-02-19,0.297572
2013-02-20,0.295972
2013-02-21,0.294372
2013-02-22,0.292772
2013-02-23,0.291172
2013-02-24,0.289572
2013-02-25,0.287972
2013-02-26,0.286372
2013-02-27,0.284772
2013-02-28,0.283172
2013-03-01,0.281572
2013-03-02,0.279972
2013-03-03,0.278372
2013-03-04,0.276772
2013-03-05,0.275172
2013-03-06,0.273572
2013-03-07,0.271972
2013-03-08,0.270372
2013-03-09,0.268772
2013-03-10,0.267172
2013-03-11,0.265572
2013-03-12,0.263972
2013-03-13,0.262372
2013-03-14,0.260772
2013-03-15,0.259172
2013-03-16,0.257572
2013-03-17,0.255972
2013-03-18,0.254372
2013-03-19,0.252772
2013-03-20,0.251172
2013-03-21,0.249572
2013-03-22,0.247972
2013-03-23,0.246372
2013-03-24,0.244772
2013-03-25,0.243172
2013-03-26,0.241572
2013-03-27,0.239972
2013-03-28,0.238372
2013-03-29,0.236772
2013-03-30,0.235172
2013-03-31,0.233572
2013-04-01,0.231972
2013-04-02,0.230372
2013-04-03,0.228772
2013-04-04,0.227172
2013-04-05,0.225572
2013-04-06,0.223972
2013-04-07,0.222372
2013-04-08,0.220772
2013-04-09,0.219172
2013-04-10,0.217572
2013-04-11,0.215972
2013-04-12,0.214372
2013-04-13,0.212772
2013-04-14,0.211172
2013-04-15,0.209572
2013-04-16,0.207972
2013-04-17,0.206372
2013-04-18,0.204772
2013-04-19,0.203172
2013-04-20,0.201572
2013-04-21,0.199972
2013-04-22,0.198372
2013-04-23,0.196772
2013-04-24,0.195172
2013-04-25,0.193572
2013-04-26,0.191972
2013-04-27,0.190372
2013-04-28,0.188772
2013-04-29,0.187172
2013-04-30,0.185572
2013-05-01,0.183972
2013-05-02,0.182372
2013-05-03,0.180772
2013-05-04,0.179172
2013-05-05,0.177572
2013-05-06,0.175972
2013-05-07,0.174372
2013-05-08,0.172772
2013-05-09,0.171172
2013-05-10,0.169572
2013-05-11,0.167972
2013-05-12,0.166372
2013-05-13,0.164772
2013-05-14,0.163172
2013-05-15,0.161572
2013-05-16,0.159972
2013-05-17,0.158372
2013-05-18,0.156772
2013-05-19,0.155172
2013-05-20,0.153572
2013-05-21,0.151972
2013-05-22,0.150372
2013-05-23,0.148772
2013-05-24,0.147172
2013-05-25,0.145572
2013-05-26,0.143972
2013-05-27,0.142372
2013-05-28,0.140772
2013-05-29,0.139172
2013-05-30,0.137572
2013-05-31,0.135972
2013-06-01,0.134372
2013-06-02,0.132772
2013-06-03,0.131172
2013-06-04,0.129572
2013-06-05,0.127972
2013-06-06,0.126372
2013-06-07,0.124772
2013-06-08,0.123172
2013-06-09,0.121572
2013-06-10,0.119972
2013-06-11,0.118372
2013-06-12,0.116772
2013-06-13,0.115172
2013-06-14,0.113572
2013-06-15,0.111972
2013-06-16,0.110372
2013-06-17,0.108772
2013-06-18,0.107172
2013-06-19,0.105572
2013-06-20,0.103972
2013-06-21,0.102372
2013-06-22,0.100772
2013-06-23,0.0991716
2013-06-24,0.0975716
2013-06-25,0.0959716
2013-06-26,0.0943716
2013-06-27,0.0927716
2013-06-28,0.0911716
2013-06-29,0.0895716
2013-06-30,0.0879716
2013-07-01,0.0863716
