time,RH_living_room_(was_found_in_a_drawer_in_2016),RH_bedroom,RH_living_room_(was_found_in_a_drawer_in_2016)_MA_30D,RH_living_room_(was_found_in_a_drawer_in_2016)_MA_7D,RH_living_room_(was_found_in_a_drawer_in_2016)_MA_1D,RH_living_room_(was_found_in_a_drawer_in_2016)_risk_30D,RH_living_room_(was_found_in_a_drawer_in_2016)_risk_7D,RH_living_room_(was_found_in_a_drawer_in_2016)_risk_1D,RH_living_room_(was_found_in_a_drawer_in_2016)_B3_overall_risk_code,RH_living_room_(was_found_in_a_drawer_in_2016)_B3_overall_risk_label,RH_bedroom_MA_30D,RH_bedroom_MA_7D,RH_bedroom_MA_1D,RH_bedroom_risk_30D,RH_bedroom_risk_7D,RH_bedroom_risk_1D,RH_bedroom_B3_overall_risk_code,RH_bedroom_B3_overall_risk_label
2012-03-16T03:00:00Z,50.8,50.1,49.225,49.225,49.7125,0,0,0,0,Safe,49.06428571428571,49.06428571428571,49.45416666666666,0,0,0,0,Safe
2012-03-16T04:00:00Z,50.5,49.8,49.26896551724138,49.26896551724138,49.94166666666666,0,0,0,0,Safe,49.08965517241379,49.08965517241379,49.62916666666666,0,0,0,0,Safe
2012-03-16T05:00:00Z,50.2,49.8,49.3,49.3,50.175000000000004,0,0,0,0,Safe,49.11333333333334,49.11333333333334,49.82083333333333,0,0,0,0,Safe
2012-03-16T06:00:00Z,50.1,49.5,49.3258064516129,49.3258064516129,50.416666666666664,0,0,0,0,Safe,49.12580645161291,49.12580645161291,50.01666666666667,0,0,0,0,Safe
2012-03-16T07:00:00Z,49.9,49.4,49.34375,49.34375,50.6625,0,0,0,0,Safe,49.134375,49.134375,50.2125,0,0,0,0,Safe
2012-03-16T08:00:00Z,49.8,49.4,49.35757575757576,49.35757575757576,50.90833333333333,0,0,0,0,Safe,49.14242424242424,49.14242424242424,50.416666666666664,0,0,0,0,Safe
2012-03-16T09:00:00Z,50.3,49.8,49.38529411764706,49.38529411764706,51.15833333333333,0,0,0,0,Safe,49.161764705882355,49.161764705882355,50.62083333333334,0,0,0,0,Safe
2012-03-16T10:00:00Z,50.5,49.9,49.417142857142856,49.417142857142856,51.291666666666664,0,0,0,0,Safe,49.182857142857145,49.182857142857145,50.73333333333334,0,0,0,0,Safe
2012-03-16T11:00:00Z,51.3,50.0,49.46944444444445,49.46944444444445,51.42083333333334,0,0,0,0,Safe,49.205555555555556,49.205555555555556,50.82500000000001,0,0,0,0,Safe
2012-03-16T12:00:00Z,51.0,50.3,49.51081081081081,49.51081081081081,51.49583333333334,0,0,0,0,Safe,49.23513513513514,49.23513513513514,50.887499999999996,0,0,0,0,Safe
2012-03-16T13:00:00Z,51.6,50.7,49.56578947368421,49.56578947368421,51.550000000000004,0,0,0,0,Safe,49.27368421052632,49.27368421052632,50.92083333333334,0,0,0,0,Safe
2012-03-16T14:00:00Z,50.9,50.3,49.6,49.6,51.51250000000001,0,0,0,0,Safe,49.300000000000004,49.300000000000004,50.88333333333333,0,0,0,0,Safe
2012-03-16T15:00:00Z,50.8,50.6,49.63,49.63,51.44583333333333,0,0,0,0,Safe,49.332499999999996,49.332499999999996,50.82916666666666,0,0,0,0,Safe
2012-03-16T16:00:00Z,50.8,50.8,49.65853658536585,49.65853658536585,51.354166666666664,0,0,0,0,Safe,49.36829268292683,49.36829268292683,50.762499999999996,0,0,0,0,Safe
2012-03-16T17:00:00Z,51.1,51.1,49.69285714285714,49.69285714285714,51.262499999999996,0,0,0,0,Safe,49.409523809523805,49.409523809523805,50.6875,0,0,0,0,Safe
2012-03-16T18:00:00Z,51.9,51.9,49.74418604651163,49.74418604651163,51.1875,0,0,0,0,Safe,49.467441860465115,49.467441860465115,50.633333333333326,0,0,0,0,Safe
2012-03-16T19:00:00Z,51.9,51.7,49.79318181818182,49.79318181818182,51.09166666666667,0,0,0,0,Safe,49.51818181818182,49.51818181818182,50.55833333333333,0,0,0,0,Safe
2012-03-16T20:00:00Z,52.1,51.6,49.84444444444444,49.84444444444444,51.00416666666666,0,0,0,0,Safe,49.56444444444445,49.56444444444445,50.47083333333334,0,0,0,0,Safe
